Woi,CAPEX,id,Crusher1,microwave_choice,ore_sorter_choice,screen1_choice,part2_choice,Jb1,Screen2,crusher2_choice,Crusher2,part3_choice,primary_bm_BallMill,primary_bm_CS_sim,Screen1,HPGR,hpgr_fsp,hpgr_U
6.809254582,123.8374985,579,9,with,without,without,CAHM,11.87892734,4,,,HPGR_Fines,27,0.7,,,,
6.825840979,123.8066938,533,9,with,without,without,CAHM,12.33223549,4,,,HPGR_Fines,27,0.7,,,,
6.844084366,123.762412,741,9,with,without,without,CAHM,10.58718869,4,,,HPGR_Fines,27,0.775480407,,,,
6.943444738,123.814395,685,9,with,without,without,CAHM,12.20621064,4,,,HPGR_Fines,27,0.714021985,,,,
6.986730818,134.7638232,311,9,with,without,without,CAHM,10.58718869,4,,,HPGR_Fines,29,0.7,,,,
7.036345114,99.49017341,541,9,without,without,without,CAHM,11.2088748,4,,,HPGR_Fines,27,0.68666213,,,,
7.036345114,99.49017341,708,9,without,without,without,CAHM,11.2088748,4,,,HPGR_Fines,27,0.68666213,,,,
7.048298804,97.48054694,823,10,without,without,without,CAHM,11.1216273,4,,,HPGR_Fines,27,0.69092156,,,,
7.050477838,99.48247223,985,9,without,without,without,CAHM,11.2088748,4,,,HPGR_Fines,27,0.69092156,,,,
7.057109803,99.48439753,765,9,without,without,without,CAHM,11.53809621,4,,,HPGR_Fines,27,0.69092156,,,,
7.079318085,99.46321928,410,9,without,without,without,CAHM,11.1216273,4,,,HPGR_Fines,27,0.7,,,,
7.079318085,99.46321928,607,9,without,without,without,CAHM,11.1216273,4,,,HPGR_Fines,27,0.7,,,,
7.079318085,99.46321928,657,9,without,without,without,CAHM,11.1216273,4,,,HPGR_Fines,27,0.7,,,,
7.079318085,99.46321928,775,9,without,without,without,CAHM,11.1216273,4,,,HPGR_Fines,27,0.7,,,,
7.086916413,104.276581,771,9,without,with,without,CAHM,11.2088748,4,,,HPGR_Fines,27,0.68666213,,,,
7.088203836,99.46706987,297,9,without,without,without,CAHM,11.53809621,4,,,HPGR_Fines,27,0.7,,,,
7.088203836,99.46706987,372,9,without,without,without,CAHM,11.53809621,4,,,HPGR_Fines,27,0.7,,,,
7.088203836,99.46706987,415,9,without,without,without,CAHM,11.53809621,4,,,HPGR_Fines,27,0.7,,,,
7.088203836,99.46706987,550,9,without,without,without,CAHM,11.53809621,4,,,HPGR_Fines,27,0.7,,,,
7.099392979,106.5443186,648,2,without,without,without,CAHM,10.58718869,4,,,HPGR_Fines,27,0.70956142,,,,
7.10634718,134.7484208,866,9,with,without,without,CAHM,10.58718869,4,,,HPGR_Fines,29,0.738052203,,,,
7.227488625,99.39198338,941,9,without,without,without,CAHM,11.1216273,4,,,HPGR_Fines,27,0.739238403,,,,
7.313308081,123.8548262,204,9,with,without,without,CAHM,14,4,,,HPGR_Fines,27,0.7,,,,
7.313308081,123.8548262,371,9,with,without,without,CAHM,14,4,,,HPGR_Fines,27,0.7,,,,
7.372109535,97.34385101,907,10,without,without,without,CAHM,11.53809621,4,,,HPGR_Fines,27,0.770985087,,,,
7.443626052,99.59991521,342,9,without,without,without,CAHM,12.27641874,4,,,HPGR_Fines,27,0.69092156,,,,
7.44405272,128.6874409,219,9,with,with,without,CAHM,14,4,,,HPGR_Fines,27,0.7,,,,
7.44405272,128.6874409,225,9,with,with,without,CAHM,14,4,,,HPGR_Fines,27,0.7,,,,
7.44405272,128.6874409,293,9,with,with,without,CAHM,14,4,,,HPGR_Fines,27,0.7,,,,
7.474354281,99.58066226,256,9,without,without,without,CAHM,12.27641874,4,,,HPGR_Fines,27,0.7,,,,
7.474354281,99.58066226,301,9,without,without,without,CAHM,12.27641874,4,,,HPGR_Fines,27,0.7,,,,
7.475901977,99.58066226,516,9,without,without,without,CAHM,12.33223549,4,,,HPGR_Fines,27,0.7,,,,
7.477665896,99.58066226,351,9,without,without,without,CAHM,12.3959496,4,,,HPGR_Fines,27,0.7,,,,
7.569743059,121.8779297,971,10,with,without,without,CAHM,16.62966515,4,,,HPGR_Fines,27,0.68666213,,,,
7.59464268,110.2432215,515,9,without,without,without,CAHM,10.58718869,4,,,HPGR_Fines,29,0.7,,,,
7.742909678,110.3433368,501,9,without,without,without,CAHM,11.87892734,4,,,HPGR_Fines,29,0.69092156,,,,
7.789948889,128.6912915,580,9,with,with,without,CAHM,15.29934314,4,,,HPGR_Fines,27,0.766423066,,,,
7.944422368,140.2772629,333,10,without,without,without,HPGR,,4,,,HPGR_Fines,27,0.7,,3,2.67854023,1.247328436
